week_start,cases
2020-03-01,6
2020-03-08,45
2020-03-15,257
2020-03-22,390
2020-03-29,1879
2020-04-05,6213
2020-04-12,8083
2020-04-19,13729
2020-04-26,20989
2020-05-03,22182
2020-05-10,24634
2020-05-17,32907
2020-05-24,38622
2020-05-31,26560
2020-06-07,34249
2020-06-14,23497
2020-06-21,24495
2020-06-28,22286
2020-07-05,24163
2020-07-12,27942
2020-07-19,33940
2020-07-26,40588
2020-08-02,48894
2020-08-09,57000
2020-08-16,56217
2020-08-23,50626
2020-08-30,36703
2020-09-06,39572
2020-09-13,35158
2020-09-20,33216
2020-09-27,16821
2020-10-04,17304
2020-10-11,19306
2020-10-18,16497
2020-10-25,13753
2020-11-01,10468
2020-11-08,11512
2020-11-15,10206
2020-11-22,9761
2020-11-29,9437
2020-12-06,8480
2020-12-13,10674
2020-12-20,8892
2020-12-27,11019
2021-01-03,18101
2021-01-10,26871
2021-01-17,35384
2021-01-24,38330
2021-01-31,48742
2021-02-07,46666
2021-02-14,43552
2021-02-21,43526
2021-02-28,40513
2021-03-07,41417
2021-03-14,49481
2021-03-21,56310
2021-03-28,53921
2021-04-04,61605
2021-04-11,53772
2021-04-18,49455
2021-04-25,42144
2021-05-02,37238
2021-05-09,35459
2021-05-16,31120
2021-05-23,26581
2021-05-30,23393
2021-06-06,18960
2021-06-13,24085
2021-06-20,19216
2021-06-27,16958
2021-07-04,15419
2021-07-11,13173
2021-07-18,10894
2021-07-25,8242
2021-08-01,8835
2021-08-08,8013
2021-08-15,7240
2021-08-22,7220
2021-08-29,6104
2021-09-05,6450
2021-09-12,6485
2021-09-19,5651
2021-09-26,6603
2021-10-03,5707
2021-10-10,5702
2021-10-17,5995
2021-10-24,6472
2021-10-31,6636
2021-11-07,8096
2021-11-14,10320
2021-11-21,9790
2021-11-28,9647
2021-12-05,9564
2021-12-12,10235
2021-12-19,10556
2021-12-26,23273
2022-01-02,95992
2022-01-09,253898
2022-01-16,330683
2022-01-23,230690
2022-01-30,113545
2022-02-06,64913
2022-02-13,38093
2022-02-20,17474
2022-02-27,8929
2022-03-06,5889
2022-03-13,4244
2022-03-20,3499
2022-03-27,2933
2022-04-03,2777
2022-04-10,2091
2022-04-17,1907
2022-04-24,1793
2022-05-01,1658
2022-05-08,2116
2022-05-15,2859
2022-05-22,3723
2022-05-29,4642
2022-06-05,6124
2022-06-12,8722
2022-06-19,16314
2022-06-26,23490
2022-07-03,43465
2022-07-10,73500
2022-07-17,78128
2022-07-24,61913
2022-07-31,60941
2022-08-07,52271
2022-08-14,32981
2022-08-21,20664
2022-08-28,10853
2022-09-04,8374
2022-09-11,5234
2022-09-18,3528
2022-09-25,2731
2022-10-02,1724
2022-10-09,1551
2022-10-16,1526
2022-10-23,1921
2022-10-30,2600
2022-11-06,6462
2022-11-13,17620
2022-11-20,38036
2022-11-27,71785
2022-12-04,57095
2022-12-11,40462
2022-12-18,21313
2022-12-25,13604
2023-01-01,7339
2023-01-08,4405
2023-01-15,2348
2023-01-22,1666
2023-01-29,1082
2023-02-05,980
2023-02-12,858
2023-02-19,853
2023-02-26,1125
2023-03-05,1220
2023-03-12,1409
2023-03-19,1681
2023-03-26,2058
2023-04-02,1784
2023-04-09,2194
2023-04-16,2155
2023-04-23,1714
2023-04-30,1337
2023-05-07,1204
