week_start,deaths
2020-03-01,3
2020-03-08,3
2020-03-15,36
2020-03-22,59
2020-03-29,228
2020-04-05,525
2020-04-12,946
2020-04-19,1712
2020-04-26,2495
2020-05-03,3234
2020-05-10,3520
2020-05-17,3799
2020-05-24,4074
2020-05-31,4151
2020-06-07,4169
2020-06-14,4160
2020-06-21,3711
2020-06-28,3748
2020-07-05,3959
2020-07-12,4184
2020-07-19,4268
2020-07-26,4410
2020-08-02,4448
2020-08-09,4321
2020-08-16,3803
2020-08-23,3409
2020-08-30,2684
2020-09-06,2225
2020-09-13,1918
2020-09-20,1612
2020-09-27,1255
2020-10-04,1185
2020-10-11,989
2020-10-18,887
2020-10-25,810
2020-11-01,782
2020-11-08,780
2020-11-15,699
2020-11-22,709
2020-11-29,724
2020-12-06,783
2020-12-13,847
2020-12-20,919
2020-12-27,1121
2021-01-03,1414
2021-01-10,2038
2021-01-17,2901
2021-01-24,3696
2021-01-31,4197
2021-02-07,4708
2021-02-14,4821
2021-02-21,4687
2021-02-28,4645
2021-03-07,4401
2021-03-14,4486
2021-03-21,4756
2021-03-28,4982
2021-04-04,5335
2021-04-11,5442
2021-04-18,5539
2021-04-25,5078
2021-05-02,4632
2021-05-09,4005
2021-05-16,3415
2021-05-23,3004
2021-05-30,2565
2021-06-06,2062
2021-06-13,1673
2021-06-20,1442
2021-06-27,1174
2021-07-04,1002
2021-07-11,763
2021-07-18,638
2021-07-25,558
2021-08-01,465
2021-08-08,478
2021-08-15,414
2021-08-22,349
2021-08-29,297
2021-09-05,281
2021-09-12,259
2021-09-19,246
2021-09-26,246
2021-10-03,252
2021-10-10,219
2021-10-17,235
2021-10-24,241
2021-10-31,247
2021-11-07,235
2021-11-14,266
2021-11-21,273
2021-11-28,289
2021-12-05,296
2021-12-12,304
2021-12-19,265
2021-12-26,298
2022-01-02,349
2022-01-09,510
2022-01-16,945
2022-01-23,1271
2022-01-30,1333
2022-02-06,1118
2022-02-13,749
2022-02-20,538
2022-02-27,455
2022-03-06,341
2022-03-13,278
2022-03-20,242
2022-03-27,195
2022-04-03,191
2022-04-10,193
2022-04-17,154
2022-04-24,134
2022-05-01,140
2022-05-08,156
2022-05-15,128
2022-05-22,129
2022-05-29,146
2022-06-05,126
2022-06-12,118
2022-06-19,125
2022-06-26,131
2022-07-03,170
2022-07-10,196
2022-07-17,250
2022-07-24,321
2022-07-31,323
2022-08-07,378
2022-08-14,314
2022-08-21,274
2022-08-28,258
2022-09-04,223
2022-09-11,229
2022-09-18,184
2022-09-25,167
2022-10-02,197
2022-10-09,116
2022-10-16,33
2022-10-23,71
2022-10-30,68
2022-11-06,78
2022-11-13,95
2022-11-20,127
2022-11-27,176
2022-12-04,179
2022-12-11,257
2022-12-18,187
2022-12-25,183
2023-01-01,148
2023-01-08,131
2023-01-15,118
2023-01-22,133
2023-01-29,106
2023-02-05,80
2023-02-12,77
2023-02-19,82
2023-02-26,80
2023-03-05,72
2023-03-12,77
2023-03-19,81
2023-03-26,73
2023-04-02,94
2023-04-09,99
2023-04-16,92
2023-04-23,82
2023-04-30,78
2023-05-07,62
