ubigeo_2022,ubigeo_2017,notes
090724,090707,"090724 was created from approximately equal portions of 090707 and 090717. We decided to assign it to 090707."
221006,221005,"221006 was created from approximately equal portions of 221005 and 221001. We decided to assign it to  221005."
050512,050502,"050502 was splitted into 050502 and 050512."
090725,090718,"090718 was splitted into 080718 and 090725."
250306,250301,"250301 was splitted into 250301, 250306, and 250307."
250307,250301,"250301 was splitted into 250301, 250306, and 250307."
050413,050406,"050406 was splitted into 040413 and 050406."
050513,050509,"050509 was splitted into 050509 and 050513."
050514,050501,"050501 was splitted into 050501, 050514, and 050515."
050515,050501,"050501 was splitted into 050501, 050514, and 050515."
080915,080902,"080902 was splitted into 080902 and 080915."
080916,080907,"080907 was splitted into 080907, 080917, and 080916."
080917,080907,"080907 was splitted into 080907, 080917, and 080916."
030612,030604,"030604 was splitted into 030612 and 030604."
080918,080910,"080910 was splitted into 080910 and 080918."
180107,180101,"180101 was splitted into 180101 and 180107."

